2012-11-04 22:08:18 Get First page
2012-11-04 22:08:18 DBO::species_names_by_page Duck 0 100
2012-11-04 22:08:18 DBO::species_names_by_page http://biocache.ala.org.au/ws/webportal/species?q=Duck&pageSize=100&start=0
name|commonName|guid|kingdom|family|count|rank
ANATIDAE|Ducks|urn:lsid:biodiversity.org.au:afd.taxon:2ee18b7b-bae4-492f-9466-44d7f7a82790|ANIMALIA|ANATIDAE|66|family
ANSERIFORMES|Ducks, Geese, Swans, And Relatives|urn:lsid:biodiversity.org.au:afd.taxon:d9461b63-91f9-42eb-8356-8a6c3eecb90b|ANIMALIA||7|order
Acacia altiscandens||urn:lsid:biodiversity.org.au:apni.taxon:305479|Plantae|Fabaceae|1|species
Aix galericulata|Mandarin|urn:lsid:catalogueoflife.org:taxon:eff34854-29c1-102b-9a4a-00304854f820:col20110201|ANIMALIA|ANATIDAE|15|species
Aix sponsa|Wood Duck|urn:lsid:catalogueoflife.org:taxon:d1cf0f5b-2dc5-11e0-98c6-2ce70255a436:col20110201|ANIMALIA|ANATIDAE|6|species
Anas (Anas) platyrhynchos|Northern Mallard|urn:lsid:biodiversity.org.au:afd.taxon:150f8ce8-901d-47ea-b485-740c26ff3ee5|ANIMALIA|ANATIDAE|57|species
Anas (Anas) superciliosa superciliosa||urn:lsid:biodiversity.org.au:afd.taxon:95d397e9-3cc8-465e-b9a7-6c94eefe722e|ANIMALIA|ANATIDAE|1346|subspecies
Anas (Anas) superciliosa|Pacific Black Duck|urn:lsid:biodiversity.org.au:afd.taxon:ce7507c4-eafc-411b-8b12-84b9e425018b|ANIMALIA|ANATIDAE|200593|species
Anas poecilorhyncha|Indian Spot-billed Duck|urn:lsid:catalogueoflife.org:taxon:d233c69a-2dc5-11e0-98c6-2ce70255a436:col20110201|ANIMALIA|ANATIDAE|10|species
Anas rubripes|Black Duck|urn:lsid:catalogueoflife.org:taxon:d1ceed46-2dc5-11e0-98c6-2ce70255a436:col20110201|ANIMALIA|ANATIDAE|5|species
Anas undulata|Yellow-billed Duck|urn:lsid:catalogueoflife.org:taxon:eff33972-29c1-102b-9a4a-00304854f820:col20110201|ANIMALIA|ANATIDAE|1|species
Anas|Dabbling Ducks|urn:lsid:biodiversity.org.au:afd.taxon:31d37375-00f2-441f-866e-2afddeb68e54|ANIMALIA|ANATIDAE|1005|genus
Atriplex nessorhina|Donald Duck Saltbush|urn:lsid:biodiversity.org.au:apni.taxon:159499|Plantae|Chenopodiaceae|74|species
Aythya (Nyroca) australis|Hardhead|urn:lsid:biodiversity.org.au:afd.taxon:9d92c4a6-3512-44e8-8e74-46855e4d37bb|ANIMALIA|ANATIDAE|6|species
Aythya collaris|Ring-necked Duck|urn:lsid:catalogueoflife.org:taxon:d1cf137e-2dc5-11e0-98c6-2ce70255a436:col20110201|ANIMALIA|ANATIDAE|2|species
Aythya fuligula|Tufted Duck|urn:lsid:catalogueoflife.org:taxon:d1cf1af4-2dc5-11e0-98c6-2ce70255a436:col20110201|ANIMALIA|ANATIDAE|3|species
Aythya|Diving Ducks|urn:lsid:biodiversity.org.au:afd.taxon:89587ff4-b893-42e7-8701-d09648ef0e3d|ANIMALIA|ANATIDAE|1|genus
Bauhinia bombaciflora||urn:lsid:catalogueoflife.org:taxon:e186bcba-29c1-102b-9a4a-00304854f820:col20110201|Plantae|Fabaceae|1|species
Bauhinia||urn:lsid:biodiversity.org.au:apni.taxon:178388|Plantae|Fabaceae|1|genus
Biziura lobata|Musk Duck|urn:lsid:biodiversity.org.au:afd.taxon:8b4f3cad-cbaa-4cb7-89e6-ffb311300f50|ANIMALIA|ANATIDAE|24502|species
Bombacaceae||urn:lsid:catalogueoflife.org:taxon:d76a616e-29c1-102b-9a4a-00304854f820:col20110201|Plantae|Bombacaceae|1|family
Brosimum guianense||urn:lsid:catalogueoflife.org:taxon:d229f0b4-2dc5-11e0-98c6-2ce70255a436:col20110201|Plantae|Moraceae|1|species
Brosimum||urn:lsid:catalogueoflife.org:taxon:d8b2ebd6-29c1-102b-9a4a-00304854f820:col20110201|Plantae|Moraceae|1|genus
Caesalpinia leiostachya||urn:lsid:catalogueoflife.org:taxon:e7d1cbb4-29c1-102b-9a4a-00304854f820:col20110201|Plantae|Fabaceae|2|species
Cairina moschata|Muscovy Duck|urn:lsid:catalogueoflife.org:taxon:d1cf4f13-2dc5-11e0-98c6-2ce70255a436:col20110201|ANIMALIA|ANATIDAE|70|species
Caleana major|Large Duck Orchid|urn:lsid:biodiversity.org.au:apni.taxon:126739|Plantae|Orchidaceae|879|species
Caleana minor|Small Duck Orchid|urn:lsid:biodiversity.org.au:apni.taxon:126762|Plantae|Orchidaceae|114|species
Caleana|Duck Orchids|urn:lsid:biodiversity.org.au:apni.taxon:126712|Plantae|Orchidaceae|22|genus
Chenonetta jubata|Australian Wood Duck|urn:lsid:biodiversity.org.au:afd.taxon:b30a8a0f-5add-4872-afdc-a564b48a8468|ANIMALIA|ANATIDAE|126739|species
Clangula hyemalis|Long-tailed Duck|urn:lsid:catalogueoflife.org:taxon:d1cf22ac-2dc5-11e0-98c6-2ce70255a436:col20110201|ANIMALIA|ANATIDAE|8|species
Cochlefelis spatula|Duck-billed Catfish|urn:lsid:catalogueoflife.org:taxon:21a1beda-60a7-102d-be47-00304854f810:col20110201|ANIMALIA|ARIIDAE|8|species
Cynometra longicuspis||urn:lsid:catalogueoflife.org:taxon:e1721512-29c1-102b-9a4a-00304854f820:col20110201|Plantae|Fabaceae|2|species
Cyperaceae|Bog-rushes|urn:lsid:biodiversity.org.au:apni.taxon:397878|Plantae|Cyperaceae|2|family
DERICHTHYIDAE|Duck-billed Eels|urn:lsid:biodiversity.org.au:afd.taxon:07056b2c-c5c4-480f-b3de-43ee84f4670e|ANIMALIA|DERICHTHYIDAE|13|family
Dendrocygna (Dendrocygna) arcuata australis||urn:lsid:biodiversity.org.au:afd.taxon:d9516662-d37e-4b8c-8c03-bc35b376a6e1|ANIMALIA|ANATIDAE|26|subspecies
Dendrocygna (Dendrocygna) arcuata|Wandering Whistling-duck|urn:lsid:biodiversity.org.au:afd.taxon:db291661-0aac-4dfe-945f-b606f068795c|ANIMALIA|ANATIDAE|8310|species
Dendrocygna (Leptotarsis) eytoni|Plumed Whistling-duck|urn:lsid:biodiversity.org.au:afd.taxon:c128e730-cfc2-4fd9-a9d1-db8ed9df83f6|ANIMALIA|ANATIDAE|11622|species
