scientific_name|lat|lng|occurrence_date
Abudefduf sexfasciatus|-16.52803|145.9931|2010-07-01
Abudefduf sexfasciatus|-15.9679|145.81899|2010-07-01
Abudefduf sexfasciatus|-27.41351|153.52519|2010-07-01
Abudefduf sexfasciatus|-22.86492|113.76253|2010-05-01
Abudefduf sexfasciatus|-23.17989|113.76169|2010-05-01
Abudefduf sexfasciatus|-20.155|149.03494|2010-07-01
Abudefduf sexfasciatus|-20.06494|148.92328|2010-07-01
Abudefduf sexfasciatus|-20.0511|148.89818|2010-07-01
Abudefduf sexfasciatus|-14.68717|145.46565|2010-07-01
Abudefduf sexfasciatus|-30.01876|153.26976|2008-06-01
Abudefduf sexfasciatus|-28.70359|113.82932|2008-03-01
Abudefduf sexfasciatus|-26.14294|113.16653|2010-05-01
Abudefduf sexfasciatus|-20.57385|116.54156|2010-06-01
Abudefduf sexfasciatus|-20.53661|116.52987|2010-06-01
Abudefduf sexfasciatus|-20.57468|116.5822|2010-06-01
Abudefduf sexfasciatus|-22.94436|113.77999|2010-05-01
Abudefduf sexfasciatus|-26.12171|113.18267|2010-05-01
Abudefduf sexfasciatus|-21.82729|114.1801|2010-05-01
Abudefduf sexfasciatus|-26.12424|113.23715|2010-05-01
Abudefduf sexfasciatus|-21.97653|113.91861|2010-05-01
Abudefduf sexfasciatus|-23.09197|113.73966|2010-06-01
Abudefduf sexfasciatus|-27.41422|153.52683|2010-07-01
Abudefduf sexfasciatus|-16.60383|145.96884|2010-07-01
Abudefduf sexfasciatus|-16.42526|145.99102|2010-07-01
Abudefduf sexfasciatus|-16.60383|145.96884|2010-07-01
Abudefduf sexfasciatus|-16.60383|145.96884|2010-07-01
Abudefduf sexfasciatus|-14.065130233765|121.79154968262|1999-12-01
Abudefduf sexfasciatus|-28.47336|113.77563|2008-03-01
Abudefduf sexfasciatus|-28.70359|113.82932|2008-03-01
Abudefduf sexfasciatus|-28.85305|114.0132|2008-03-01
Abudefduf sexfasciatus|-22.94436|113.77999|2010-05-01
Abudefduf sexfasciatus|-21.8559|114.16763|2010-05-01
Abudefduf sexfasciatus|-26.12424|113.23715|2010-05-01
Abudefduf sexfasciatus|-26.09207|113.23634|2010-05-01
Abudefduf sexfasciatus|-23.11234|113.75042|2010-05-01
Abudefduf sexfasciatus|-20.07899|148.87646|2010-07-01
Abudefduf sexfasciatus|-21.8559|114.16763|2010-05-01
Abudefduf sexfasciatus|-26.12171|113.18267|2010-05-01
Abudefduf sexfasciatus|-26.36056|153.11399|2010-07-01
Abudefduf sexfasciatus|-16.42526|145.99102|2010-07-01
Abudefduf sexfasciatus|-21.66711|114.33362|2010-05-01
Abudefduf sexfasciatus|-16.23366|139.25151|2010-07-01
