scientific_name|lat|lng|occurrence_date
Abudefduf bengalensis|-16.73392|146.26511|2010-07-01
Abudefduf bengalensis|-27.38898|153.55097|2010-07-01
Abudefduf bengalensis|-23.11234|113.75042|2010-05-01
Abudefduf bengalensis|-21.8559|114.16763|2010-05-01
Abudefduf bengalensis|-12.3448|130.8538|2008-09-01
Abudefduf bengalensis|-23.13711|150.98134|2010-07-01
Abudefduf bengalensis|-20.0511|148.89818|2010-07-01
Abudefduf bengalensis|-26.35399|153.08292|2010-07-01
Abudefduf bengalensis|-24.88209|152.48897|2010-07-01
Abudefduf bengalensis|-24.83999|152.47901|2010-07-01
Abudefduf bengalensis|-23.19801|150.96855|2010-07-01
Abudefduf bengalensis|-26.16084|113.21732|2010-05-01
Abudefduf bengalensis|-20.21246|118.52584|2010-06-01
Abudefduf bengalensis|-16.430728|123.068522|2010-06-01
Abudefduf bengalensis|-16.419257|123.033795|2010-06-01
Abudefduf bengalensis|-12.4142|130.8115|2009-10-01
Abudefduf bengalensis|-16.23366|139.25151|2010-07-01
Abudefduf bengalensis|-28.46051|113.77258|2008-03-01
Abudefduf bengalensis|-28.46051|113.77258|2008-03-01
Abudefduf bengalensis|-12.40605|130.81166|2010-07-01
Abudefduf bengalensis|-20.57385|116.54156|2010-06-01
Abudefduf bengalensis|-27.31104|153.23086|2010-07-01
Abudefduf bengalensis|-20.5752|116.5696|2010-06-01
Abudefduf bengalensis|-20.53661|116.52987|2010-06-01
Abudefduf bengalensis|-16.47914|139.2713|2010-07-01
Abudefduf bengalensis|-20.53661|116.52987|2010-06-01
Abudefduf bengalensis|-16.42526|145.99102|2010-07-01
Abudefduf bengalensis|-18.0375|146.17934|2010-06-01
Abudefduf bengalensis|-26.09207|113.23634|2010-05-01
Abudefduf bengalensis|-18.04677|146.20102|2010-06-01
Abudefduf bengalensis|-20.04033|148.88061|2010-07-01
Abudefduf bengalensis|-16.38094|139.59973|2010-07-01
Abudefduf bengalensis|-23.16641|150.95166|2010-07-01
Abudefduf bengalensis|-16.88857|146.191837|2010-07-01
Abudefduf bengalensis|-27.41351|153.52519|2010-07-01
Abudefduf bengalensis|-23.18833|150.93451|2010-07-01
Abudefduf bengalensis|-23.15684|150.95608|2010-07-01
