scientific_name|lat|lng|occurrence_date
Abudefduf vaigiensis|-36.24683|150.22319|2008-03-01
Abudefduf vaigiensis|-28.611|153.62831|2010-07-01
Abudefduf vaigiensis|-16.60383|145.96884|2010-07-01
Abudefduf vaigiensis|-16.93168|145.98818|2010-07-01
Abudefduf vaigiensis|-27.38898|153.55097|2010-07-01
Abudefduf vaigiensis|-27.41351|153.52519|2010-07-01
Abudefduf vaigiensis|-27.41351|153.52519|2010-07-01
Abudefduf vaigiensis|-27.41422|153.52683|2010-07-01
Abudefduf vaigiensis|-22.86492|113.76253|2010-05-01
Abudefduf vaigiensis|-32.71809|152.1422|2010-05-01
Abudefduf vaigiensis|-30.20503|153.26482|2008-06-01
Abudefduf vaigiensis|-30.01765|153.2692|2008-06-01
Abudefduf vaigiensis|-33.800278|151.293776|2010-05-01
Abudefduf vaigiensis|-28.6128|153.62873|2010-07-01
Abudefduf vaigiensis|-23.21313|113.76296|2010-05-01
Abudefduf vaigiensis|-23.21313|113.76296|2010-05-01
Abudefduf vaigiensis|-23.20838|113.76328|2010-05-01
Abudefduf vaigiensis|-27.41351|153.52519|2010-07-01
Abudefduf vaigiensis|-28.6128|153.62873|2010-07-01
Abudefduf vaigiensis|-27.41422|153.52683|2010-07-01
Abudefduf vaigiensis|-29.93044|153.38984|2008-06-01
Abudefduf vaigiensis|-30.01765|153.2692|2008-09-01
Abudefduf vaigiensis|-30.15932|153.2257|2009-01-01
Abudefduf vaigiensis|-23.20838|113.76328|2010-05-01
Abudefduf vaigiensis|-30.15932|153.2257|2009-01-01
Abudefduf vaigiensis|-30.01765|153.2692|2008-09-01
Abudefduf vaigiensis|-30.01765|153.2692|2008-09-01
Abudefduf vaigiensis|-27.41422|153.52683|2010-07-01
Abudefduf vaigiensis|-29.93044|153.38984|2008-06-01
Abudefduf vaigiensis|-30.01765|153.2692|2008-09-01
Abudefduf vaigiensis|-29.93044|153.38984|2008-06-01
Abudefduf vaigiensis|-23.21313|113.76296|2010-05-01
Abudefduf vaigiensis|-30.15932|153.2257|2009-01-01
Abudefduf vaigiensis|-27.41422|153.52683|2010-07-01
Abudefduf vaigiensis|-12.546500205994|123.54699707031|2004-10-01
Abudefduf vaigiensis|-12.546660423279|123.55249786377|2004-10-01
Abudefduf vaigiensis|-12.545660018921|123.55850219727|2004-10-01
Abudefduf vaigiensis|-12.524000167847|123.55133056641|2004-10-01
Abudefduf vaigiensis|-14.67311|145.459156|2011-09-01
