scientific_name|lat|lng|occurrence_date
Abudefduf whitleyi|-20.07899|148.87646|2010-07-01
Abudefduf whitleyi|-20.0511|148.89818|2010-07-01
Abudefduf whitleyi|-20.04033|148.88061|2010-07-01
Abudefduf whitleyi|-18.04677|146.20102|2010-06-01
Abudefduf whitleyi|-26.36056|153.11399|2010-07-01
Abudefduf whitleyi|-17.21662|146.08918|2010-07-01
Abudefduf whitleyi|-14.68717|145.46565|2010-07-01
Abudefduf whitleyi|-14.64588|145.45546|2010-06-01
Abudefduf whitleyi|-23.18833|150.93451|2010-07-01
Abudefduf whitleyi|-23.186976|150.933697|2010-07-01
Abudefduf whitleyi|-30.01765|153.2692|2010-01-01
Abudefduf whitleyi|-14.6461|145.45386|2010-06-01
Abudefduf whitleyi|-14.65706|145.45076|2010-06-01
Abudefduf whitleyi|-14.68689|145.44195|2010-06-01
Abudefduf whitleyi|-23.16641|150.95166|2010-07-01
Abudefduf whitleyi|-23.15684|150.95608|2010-07-01
Abudefduf whitleyi|-17.77205|146.44973|2010-07-01
Abudefduf whitleyi|-27.41422|153.52683|2010-07-01
Abudefduf whitleyi|-14.64524|145.45471|2010-07-01
Abudefduf whitleyi|-17.77205|146.44973|2010-07-01
Abudefduf whitleyi|-27.31104|153.23086|2010-07-01
Abudefduf whitleyi|-14.6461|145.45386|2010-06-01
Abudefduf whitleyi|-14.64524|145.45471|2010-07-01
Abudefduf whitleyi|-17.77205|146.44973|2010-07-01
Abudefduf whitleyi|-30.01765|153.2692|2010-01-01
Abudefduf whitleyi|-23.16641|150.95166|2010-07-01
Abudefduf whitleyi|-14.68279|145.46565|2010-07-01
Abudefduf whitleyi|-30.01765|153.2692|2010-01-01
Abudefduf whitleyi|-14.65706|145.45076|2010-06-01
Abudefduf whitleyi|-23.16641|150.95166|2010-07-01
Abudefduf whitleyi|-16.88857|146.191837|2010-07-01
Abudefduf whitleyi|-14.65706|145.45076|2010-06-01
Abudefduf whitleyi|-17.77205|146.44973|2010-07-01
Abudefduf whitleyi|-16.88857|146.191837|2010-07-01
Abudefduf whitleyi|-14.68689|145.44195|2010-06-01
Abudefduf whitleyi|-14.68279|145.46565|2010-07-01
Abudefduf whitleyi|-27.31104|153.23086|2010-07-01
Abudefduf whitleyi|-14.65706|145.45076|2010-06-01
Abudefduf whitleyi|-27.31104|153.23086|2010-07-01
Abudefduf whitleyi|-20.06494|148.92328|2010-07-01
Abudefduf whitleyi|-14.68689|145.44195|2010-06-01
Abudefduf whitleyi|-14.68279|145.46565|2010-07-01
Abudefduf whitleyi|-17.77205|146.44973|2010-07-01
Abudefduf whitleyi|-14.68689|145.44195|2010-06-01
Abudefduf whitleyi|-30.01765|153.2692|2010-01-01
Abudefduf whitleyi|-20.06494|148.92328|2010-07-01
Abudefduf whitleyi|-27.31104|153.23086|2010-07-01
Abudefduf whitleyi|-20.06494|148.92328|2010-07-01
Abudefduf whitleyi|-14.68279|145.46565|2010-07-01
Abudefduf whitleyi|-23.15684|150.95608|2010-07-01
Abudefduf whitleyi|-23.16641|150.95166|2010-07-01
Abudefduf whitleyi|-14.6461|145.45386|2010-06-01
Abudefduf whitleyi|-27.41422|153.52683|2010-07-01
Abudefduf whitleyi|-20.06494|148.92328|2010-07-01
Abudefduf whitleyi|-23.15684|150.95608|2010-07-01
Abudefduf whitleyi|-14.67311|145.459156|2011-04-01
Abudefduf whitleyi|-14.67311|145.459156|2011-08-01
Abudefduf whitleyi|-14.67311|145.459156|2011-08-01
Abudefduf whitleyi|-14.666293|145.44294|2009-04-01
Abudefduf whitleyi|-14.652924|145.450665|2009-04-01
Abudefduf whitleyi|-14.645093|145.453777|2008-09-01
Abudefduf whitleyi|-14.67311|145.459156|2011-08-01
Abudefduf whitleyi|-14.67311|145.459156|2011-09-01
Abudefduf whitleyi|-14.67311|145.459156|2011-04-01
Abudefduf whitleyi|-14.67311|145.459156|2012-03-01
Abudefduf whitleyi|-14.684382|145.472699|2006-04-01
Abudefduf whitleyi|-14.691866|145.464097|2004-08-01
Abudefduf whitleyi|-14.67311|145.459156|2011-08-01
Abudefduf whitleyi|-14.67311|145.459156|2011-08-01
Abudefduf whitleyi|-14.67311|145.459156|2011-04-01
Abudefduf whitleyi|-14.67311|145.459156|2011-08-01
