scientific_name|lat|lng|occurrence_date
Acacia blakei subsp. diphylla|-30.108055555556|152.17111111111|2003-10-01
Acacia blakei subsp. diphylla|-30.043611111111|152.195|2003-10-01
Acacia blakei subsp. diphylla|-31.845404715113|152.46305240677|2003-11-01
Acacia blakei|-31.968590126068|152.5419857143|2005-06-01
Acacia blakei|-31.844486236572|152.45744323731|2006-08-01
Acacia blakei subsp. diphylla|-30.773251284182|151.89126239487|1997-10-01
Acacia blakei subsp. diphylla|-30.964376165709|151.99376159254|1997-12-01
Acacia blakei subsp. diphylla|-31.065493366688|152.00213169185|1997-12-01
Acacia blakei subsp. diphylla|-30.876349402979|152.04594002597|1998-02-01
Acacia blakei subsp. diphylla|-30.786847002609|152.15029065172|1997-04-01
Acacia blakei subsp. diphylla|-28.460901851137|152.25078820514|1997-11-01
Acacia blakei subsp. diphylla|-30.69544747623|151.87753563418|1997-04-01
Acacia blakei subsp. diphylla|-29.624168225638|152.23045840929|1997-10-01
Acacia blakei subsp. diphylla|-29.101211127728|152.23797700277|1997-03-01
Acacia blakei subsp. diphylla|-29.103019045707|152.23847751771|1997-03-01
Acacia blakei subsp. diphylla|-29.102570712029|152.2389946475|1997-03-01
Acacia blakei subsp. diphylla|-29.071440207928|152.24025081457|1997-03-01
Acacia blakei subsp. diphylla|-29.082383711408|152.24428036332|1997-03-01
Acacia blakei subsp. diphylla|-29.091835793437|152.25602822699|1997-03-01
Acacia blakei subsp. diphylla|-28.512710233387|152.41596966954|1997-10-01
Acacia blakei subsp. diphylla|-28.900569897631|152.46150599777|1997-11-01
Acacia blakei subsp. diphylla|-30.896145983299|152.46897763954|1997-11-01
Acacia blakei subsp. diphylla|-29.047848153157|152.92912566362|1997-09-01
Acacia blakei subsp. diphylla|-29.060502059691|152.98356336295|1997-09-01
Acacia blakei subsp. diphylla|-29.027107280512|152.99691912274|1997-09-01
Acacia blakei subsp. diphylla|-30.652689405216|151.95334910574|1991-01-01
Acacia blakei|-29.89885488408|152.29153631037|1994-08-01
Acacia blakei|-29.897061186356|152.29362044002|1994-08-01
Acacia blakei subsp. diphylla|-29.657087091132|152.51125509202|1994-08-01
Acacia blakei subsp. diphylla|-29.660252206791|152.5129964167|1994-08-01
Acacia blakei subsp. diphylla|-29.657638072415|152.51383562975|1994-08-01
Acacia blakei subsp. diphylla|-29.653989820014|152.52821525156|1994-08-01
Acacia blakei subsp. diphylla|-29.650837030138|152.52988309514|1994-08-01
Acacia blakei subsp. diphylla|-30.54597769597|152.02833620647|1993-04-01
Acacia blakei subsp. diphylla|-30.545075443537|152.02834519178|1993-04-01
Acacia blakei subsp. diphylla|-30.105367043987|152.74467063148|1993-04-01
Acacia blakei subsp. diphylla|-29.192139604931|153.19337642255|1993-03-01
Acacia blakei|-29.724077622144|152.57090061989|1992-11-01
Acacia blakei|-29.048767541536|152.97740218238|1993-02-01
Acacia blakei subsp. diphylla|-30.922222222222|151.85416666667|2004-02-01
Acacia blakei subsp. diphylla|-30.973611111111|151.90222222222|2004-11-01
Acacia blakei subsp. diphylla|-30.536111111111|152.03194444444|2004-11-01
Acacia blakei subsp. diphylla|-30.920833333333|151.85416666667|2004-10-01
Acacia blakei|-29.523002838761|152.38704052523|1999-04-01
Acacia blakei subsp. diphylla|-30.612403960605|152.146340824|1980-01-01
Acacia blakei subsp. diphylla|-31.719461737101|151.71309256161|1989-01-01
Acacia blakei subsp. diphylla|-31.717582829061|151.71821588988|1989-01-01
Acacia blakei subsp. diphylla|-31.707491377774|151.7329803978|1989-01-01
Acacia blakei subsp. diphylla|-31.705004699441|151.74883192188|1989-01-01
Acacia blakei subsp. diphylla|-31.775605399211|151.78810630651|1989-01-01
Acacia blakei subsp. diphylla|-31.80519751591|151.9249750021|1989-01-01
Acacia blakei|-32.405097961426|151.89688110352|2008-08-01
Acacia blakei subsp. diphylla|-30.767972946167|151.90777587891|2009-11-01
Acacia blakei|-29.689459317022|152.65461535177|2007-09-01
Acacia blakei|-30.667852401733|151.9328918457|2007-06-01
Acacia blakei|-29.719074370738|152.63932575018|2007-10-01
Acacia blakei|-31.697891235352|151.74296569824|2010-01-01
Acacia blakei subsp. diphylla|-31.855266571045|152.47883605957|2008-09-01
Acacia blakei subsp. diphylla|-30.951680105896|151.98551961707|1997-12-01
Acacia blakei|-29.523007592556|152.38807239458|1999-04-01
Acacia blakei|-29.523007592556|152.38807239458|1999-04-01
Acacia blakei subsp. diphylla|-30.951680105896|151.98551961707|1997-12-01
Acacia blakei|-29.523007592556|152.38807239458|1999-04-01
Acacia blakei|-31.855266571045|152.47883605957|2008-09-01
